"Year","RP1"
1,-0.427947006274358
2,-0.352218942185452
3,-0.312026398692495
4,-0.328615168497161
5,-0.311866732075559
6,-0.224138070885586
7,-0.189376893367288
8,-0.282315734105767
9,-0.317472433154169
10,-0.310843016970995
11,-0.29639834805831
12,-0.315566565708559
13,-0.270129378593389
14,-0.29535004192995
15,-0.314538169520385
16,-0.307081803033711
17,-0.254466000188277
18,-0.228990725797818
19,-0.263831275832539
20,-0.311018665025279
21,-0.294929199478175
22,-0.290777380424241
23,-0.270119722892591
24,-0.271172805776921
25,-0.255034679156475
26,-0.227077001376846
27,-0.221946032775434
28,-0.283061430666733
29,-0.359646224419238
30,-0.260851446800574
31,-0.290066358931769
32,-0.233251125399029
33,-0.27957576220723
34,-0.240731549727655
35,-0.231592464275076
36,-0.287182389637744
37,-0.273448768522109
38,-0.28103583804101
39,-0.247576000490059
40,-0.333363480953396
41,-0.256083802438007
42,-0.280970378450426
43,-0.294516980537825
44,-0.336900732375797
45,-0.317671499853226
46,-0.348836622271162
47,-0.350473601448409
48,-0.439326401430593
49,-0.398677256456617
50,-0.376900301330011
51,-0.4373719728319
52,-0.429497047511604
53,-0.377380697378117
54,-0.33294707805283
55,-0.333302432791002
56,-0.379681689312589
57,-0.408014608225453
58,-0.353349823223216
59,-0.374262320344096
60,-0.330919161409719
61,-0.222803602388803
62,-0.371778179240785
63,-0.304179358348277
64,-0.296373117202829
65,-0.363286066186936
66,-0.343852851089069
67,-0.375936168301063
68,-0.333592485923278
69,-0.355084263577415
70,-0.36698772926991
71,-0.356841863365313
72,-0.303401817166403
73,-0.34917478287747
74,-0.371842607661009
75,-0.332801825951843
76,-0.347991324058947
77,-0.352870140441893
78,-0.404635187847256
79,-0.32216921314135
80,-0.344261968117494
81,-0.365315360472123
82,-0.365749362944753
83,-0.411919989111727
84,-0.401155653185971
85,-0.368189402588808
86,-0.339605735829399
87,-0.333230752133425
88,-0.271398089644082
89,-0.289898639932779
90,-0.360717615319245
91,-0.317036643791912
92,-0.271305169463725
93,-0.304620025964843
94,-0.37365034642703
95,-0.36096438596
96,-0.344116185463188
97,-0.455985520696774
98,-0.385095201135356
99,-0.262823434489423
100,-0.343808373925343
101,-0.334926150402177
102,-0.325965752289899
103,-0.289132910959346
104,-0.304979548051817
105,-0.302484194460326
106,-0.328360569708073
107,-0.338347841300472
108,-0.353010238242937
109,-0.459429330720971
110,-0.340016826341301
111,-0.330437452288158
112,-0.422733352689491
113,-0.382321734439435
114,-0.310758104980844
115,-0.307112786724856
116,-0.347533489815773
117,-0.315070518287506
118,-0.339457612102359
119,-0.387731717268438
120,-0.353470973143345
121,-0.321550449424308
122,-0.393774227216578
123,-0.425460800491857
124,-0.347457183680669
125,-0.307007946607225
126,-0.423065697514211
127,-0.347628881742358
128,-0.375082477276751
129,-0.383648631740824
130,-0.42890367129452
131,-0.329972683555316
132,-0.373930289460451
133,-0.438979220339214
134,-0.402716517983138
135,-0.363313877286884
136,-0.277403111221092
137,-0.268467044321086
138,-0.244393721522236
139,-0.24550599982433
140,-0.283638550641682
141,-0.331353112555604
142,-0.371131632074962
143,-0.30531369199955
144,-0.344346181880485
145,-0.322733933056817
146,-0.386077707968227
147,-0.371166510648477
148,-0.397093664434329
149,-0.357766408766867
150,-0.426324370585396
151,-0.427959090750702
152,-0.390620392727883
153,-0.332335902931043
154,-0.30153869664246
155,-0.305067267890812
156,-0.321075998796689
157,-0.34515321809145
158,-0.343582914580593
159,-0.383723303028899
160,-0.307711305069138
161,-0.327547071447416
162,-0.379475519890521
163,-0.391693768360249
164,-0.336351352116744
165,-0.408727942005175
166,-0.350555764739479
167,-0.292709335188672
168,-0.390891032426574
169,-0.384516203446354
170,-0.350498750418881
171,-0.376228140721046
172,-0.35352624511969
173,-0.312090471310742
174,-0.405643720094295
175,-0.397486701204247
176,-0.364959425449168
177,-0.370556015616836
178,-0.411190197338845
179,-0.439697212492217
180,-0.42311486047363
181,-0.401963017496182
182,-0.426024346764403
183,-0.390817571382568
184,-0.385570015437203
185,-0.362734263572519
186,-0.341073911525675
187,-0.355578501482649
188,-0.332277001924278
189,-0.380911407546474
190,-0.352217647672232
191,-0.290891480507634
192,-0.40075549583475
193,-0.385729888251578
194,-0.330950955228008
195,-0.376237966813531
196,-0.27752728470082
197,-0.217727631070449
198,-0.297685163906439
199,-0.341840790634313
200,-0.371763981120877
201,-0.389281585318008
202,-0.365352352394491
203,-0.409286922824407
204,-0.350882493998072
205,-0.346962105581144
206,-0.322403139745182
207,-0.331396709110789
208,-0.356526664461254
209,-0.252932482633462
210,-0.267838202868048
211,-0.332132043700454
212,-0.257683225258691
213,-0.276601602409878
214,-0.350670607356611
215,-0.37187815549025
216,-0.327976750392354
217,-0.313624511416639
218,-0.332664729708332
219,-0.306310900364435
220,-0.3243159405594
221,-0.383650933274629
222,-0.321784774366738
223,-0.296248362619331
224,-0.260200980956316
225,-0.248195186082645
226,-0.293761899646855
227,-0.283202489633055
228,-0.361624346869046
229,-0.288098378561153
230,-0.284397129461864
231,-0.271935106403661
232,-0.247742252882897
233,-0.287772317405631
234,-0.338100301386708
235,-0.275326383457419
236,-0.321914021758513
237,-0.350192975146358
238,-0.323021737672334
239,-0.224188745447348
240,-0.286549189925959
241,-0.364917732444197
242,-0.307046382076368
243,-0.359868094636615
244,-0.295044416727072
245,-0.298394501066899
246,-0.216996877638476
247,-0.241495277812803
248,-0.312716589305181
249,-0.299669448778394
250,-0.226329414562895
251,-0.367877579971952
252,-0.303412716756416
253,-0.404579674315985
254,-0.435166431363042
255,-0.450794969857761
256,-0.502622494815929
257,-0.442330905613813
258,-0.418981715640086
259,-0.44367098690947
260,-0.511168217528548
261,-0.497950942435517
262,-0.4750470320638
263,-0.477029919943802
264,-0.374437524038354
265,-0.437236434025958
266,-0.404993544659956
267,-0.458653078880373
268,-0.414802914101658
269,-0.364625551814592
270,-0.409272936939963
271,-0.457102946985989
272,-0.443892777601878
273,-0.42059914884209
274,-0.482073652498262
275,-0.447991322875928
276,-0.413463869837244
277,-0.38569614600393
278,-0.340461993983297
279,-0.428854286150465
280,-0.391295692853446
281,-0.409222911438173
282,-0.35774858260862
283,-0.40332593254867
284,-0.366875729722135
285,-0.400419551250418
286,-0.35912200007062
287,-0.40672981221206
288,-0.365620354195633
289,-0.3970466662406
290,-0.497518851953495
291,-0.482994885499481
292,-0.389497522996133
293,-0.464241630033533
294,-0.445538213920445
295,-0.468781938276007
296,-0.449192756824736
297,-0.378773520797396
298,-0.409569850958372
299,-0.382705849176371
300,-0.355574455944534
301,-0.371306759095788
302,-0.313014393658275
303,-0.269618182158131
304,-0.280948452810788
305,-0.324237214505571
306,-0.257921683058298
307,-0.274173573417555
308,-0.317898957743092
309,-0.355139797080636
310,-0.354187091408348
311,-0.346120911767953
312,-0.367652688772578
313,-0.380527846973956
314,-0.330488475381508
315,-0.378090889211863
316,-0.389748878468
317,-0.32494215870509
318,-0.339568527122859
319,-0.403677524490849
320,-0.432213702368676
321,-0.430989895968539
322,-0.37640929179697
323,-0.376872916235582
324,-0.36720930359978
325,-0.370376884741713
326,-0.409639234744415
327,-0.370284404768626
328,-0.383474487444177
329,-0.354225494423991
330,-0.369836997172167
331,-0.42507477573687
332,-0.371145964317829
333,-0.35983050519284
334,-0.375400958643911
335,-0.44542546042649
336,-0.404528826047276
337,-0.361045423283048
338,-0.421004076293335
339,-0.423862777329657
340,-0.331623603418047
341,-0.290852445523902
342,-0.302852449988361
343,-0.371396806938022
344,-0.400405772906656
345,-0.410082182603158
346,-0.356086601558158
347,-0.400926420045255
348,-0.418020512913974
349,-0.358298425320261
350,-0.412412037056904
351,-0.402230630078366
352,-0.466097509531149
353,-0.46089454457608
354,-0.507245782775183
355,-0.487024979902164
356,-0.442076777819235
357,-0.50063656372766
358,-0.397804588398131
359,-0.487076823064625
360,-0.421861368764993
361,-0.364670444820895
362,-0.41976112290342
363,-0.413739220113138
364,-0.353108215698783
365,-0.397998877238361
366,-0.396137178650798
367,-0.380921816457395
368,-0.400409106171974
369,-0.443731348305858
370,-0.405802412113049
371,-0.439060888848359
372,-0.483063338359721
373,-0.455785062229892
374,-0.53687836595916
375,-0.451591185205248
376,-0.463580700010789
377,-0.388447564969382
378,-0.446222630449732
379,-0.413276978507745
380,-0.428495140092331
381,-0.492125903949694
382,-0.425200220126728
383,-0.372972202217413
384,-0.365280136197627
385,-0.363966031910444
386,-0.351378129258415
387,-0.374326922330917
388,-0.393793293681694
389,-0.397661564189099
390,-0.489969105678137
391,-0.439524426541313
392,-0.460939336353977
393,-0.473661750188294
394,-0.426491370408302
395,-0.37996907657732
396,-0.33300677446587
397,-0.299163024921227
398,-0.339423898621602
399,-0.393425446654783
400,-0.400465505102704
401,-0.355497631404688
402,-0.343879205023498
403,-0.324576876783877
404,-0.380940897121109
405,-0.274184855471939
406,-0.220525537496113
407,-0.236785302451552
408,-0.309892199583546
409,-0.347768167627119
410,-0.356797331714298
411,-0.332061439453446
412,-0.397466014676595
413,-0.329536646336807
414,-0.354553273926974
415,-0.33987202746793
416,-0.353201956369705
417,-0.401486574902125
418,-0.399275315979833
419,-0.367213097954731
420,-0.372928662499768
421,-0.380564479939845
422,-0.393766236448037
423,-0.431520635750511
424,-0.356264674319234
425,-0.345399971267056
426,-0.376019536459632
427,-0.377220376919697
428,-0.436304432198013
429,-0.326191238258563
430,-0.310573715449892
431,-0.379794270648574
432,-0.343446062859174
433,-0.339831025026807
434,-0.318450207101431
435,-0.352186806394968
436,-0.44125084928741
437,-0.415945789219942
438,-0.437567544249321
439,-0.431359193232583
440,-0.422462370236206
441,-0.435422095746801
442,-0.400918050961755
443,-0.353682798516714
444,-0.313402673447377
445,-0.449127685061234
446,-0.423972346568975
447,-0.408608143116599
448,-0.387458447474877
449,-0.44423600245973
450,-0.351489373818325
451,-0.441427841918558
452,-0.392983435610685
453,-0.391594253178788
454,-0.401546830235489
455,-0.366279994371343
456,-0.448609841456439
457,-0.358302825323946
458,-0.326803501452094
459,-0.371271827180989
460,-0.38295946478865
461,-0.315186267082667
462,-0.396757234074041
463,-0.444612089416797
464,-0.453044213968375
465,-0.433761268576311
466,-0.459899615618738
467,-0.472461709590364
468,-0.447391113253639
469,-0.495933406892234
470,-0.498306476368863
471,-0.500395495424305
472,-0.475129057799563
473,-0.436717853898374
474,-0.458998590627416
475,-0.41281782902192
476,-0.403885300279199
477,-0.485466084919973
478,-0.397287967319322
479,-0.373293294460528
480,-0.314642245119512
481,-0.337518930561714
482,-0.347489035638299
483,-0.384912406653112
484,-0.365085557784674
485,-0.33349104865293
486,-0.42320356629851
487,-0.353088386647217
488,-0.313149978631609
489,-0.321140245434141
490,-0.37258494133447
491,-0.345365969367193
492,-0.426794921608823
493,-0.395569719556686
494,-0.417053626686361
495,-0.419076737637283
496,-0.359594257139215
497,-0.376822386590279
498,-0.361589373910726
499,-0.35869640137528
500,-0.31013835945045
501,-0.260300167362642
502,-0.290396263888606
503,-0.308959251113012
504,-0.425050588247946
505,-0.342870905963671
506,-0.360412591976605
507,-0.33692856488769
508,-0.355765702688953
509,-0.35399702983861
510,-0.359677377908517
511,-0.363207800503675
512,-0.343363912008097
513,-0.347910848708319
514,-0.348141221170765
515,-0.367716880500688
516,-0.327648149898417
517,-0.304961343354086
518,-0.332556055862784
519,-0.304261893996521
520,-0.294854403116927
521,-0.285838514631296
522,-0.317570479885188
523,-0.2900191003081
524,-0.347307158707333
525,-0.322586658687569
526,-0.384750669260734
527,-0.337327728961648
528,-0.35773246615202
529,-0.358385094510614
530,-0.322634654244584
531,-0.435088728809016
532,-0.307956917094292
533,-0.292333938597476
534,-0.340118131885726
535,-0.386684201123458
536,-0.518301088686176
537,-0.42353226227233
538,-0.375338089183454
539,-0.398260826010234
540,-0.403537629044409
541,-0.466764018333683
542,-0.491766109553847
543,-0.518960199646707
544,-0.466322654361987
545,-0.489337657851235
546,-0.425126612194667
547,-0.441338430355319
548,-0.487523763584516
549,-0.523565899986391
550,-0.524502058381921
551,-0.50713733279724
552,-0.493768202598612
553,-0.48716814493296
554,-0.447360828710511
555,-0.456069993220777
556,-0.42976662306302
557,-0.42725255285019
558,-0.335612373470171
559,-0.359400228641455
560,-0.440341421597284
561,-0.425070183871542
