"Year","RP1"
1,-0.534304837163741
2,-0.439070573915961
3,-0.345851738842589
4,-0.340402492995974
5,-0.289460488163447
6,-0.189014232421417
7,-0.123896081582049
8,-0.277136177471175
9,-0.398038575127105
10,-0.422372975226402
11,-0.411827636341886
12,-0.390941490784554
13,-0.281805799012624
14,-0.359031648619384
15,-0.423497307474659
16,-0.393153561469919
17,-0.344243378568886
18,-0.327653878096431
19,-0.354801820758561
20,-0.384976772016612
21,-0.392490155361346
22,-0.369769878917969
23,-0.348700417254061
24,-0.395452160488431
25,-0.325774504060873
26,-0.341103656124102
27,-0.334409782135163
28,-0.341695052293356
29,-0.424119687194306
30,-0.395186659572747
31,-0.442244800543256
32,-0.365088954100663
33,-0.356707820669128
34,-0.327708519202044
35,-0.345928989425966
36,-0.410275234377838
37,-0.333044696521124
38,-0.329251297047581
39,-0.346403181436265
40,-0.442696162176626
41,-0.36047886810072
42,-0.31832028737791
43,-0.328037644494783
44,-0.384269048339583
45,-0.393151103009003
46,-0.43071939453252
47,-0.410787762099995
48,-0.523149430811198
49,-0.513793155398672
50,-0.529619552613805
51,-0.582887143497779
52,-0.573304524865576
53,-0.51242992622617
54,-0.471137923841943
55,-0.461348270704306
56,-0.491208441042198
57,-0.575934563984551
58,-0.47816679433601
59,-0.546459321278859
60,-0.442987179747583
61,-0.308164559243735
62,-0.459699497379846
63,-0.352741417145406
64,-0.324766087429835
65,-0.409635688375367
66,-0.430934517793837
67,-0.402831377690072
68,-0.370043370324804
69,-0.413576338350318
70,-0.434925560155339
71,-0.426373157056677
72,-0.380928016541601
73,-0.430748436503762
74,-0.500728733953832
75,-0.461308066197072
76,-0.435095561351998
77,-0.484229366374498
78,-0.529052753854025
79,-0.45942565186455
80,-0.510734943363839
81,-0.51255409450911
82,-0.535747502594301
83,-0.495765238857727
84,-0.559784802976806
85,-0.509479938213199
86,-0.460582363301342
87,-0.442287412960755
88,-0.285528285457562
89,-0.345726890188244
90,-0.427486459444154
91,-0.370597621763612
92,-0.268608945409039
93,-0.349352456843586
94,-0.446801341266691
95,-0.403415707341299
96,-0.344681293881732
97,-0.474564729824467
98,-0.371000069956985
99,-0.218686611795075
100,-0.307298525188353
101,-0.331062158980261
102,-0.328543465059799
103,-0.300291682570171
104,-0.335860870057658
105,-0.303056980263401
106,-0.349960570231749
107,-0.35568905010587
108,-0.381872174468239
109,-0.553859200207275
110,-0.45371698976775
111,-0.452763299075747
112,-0.586430918390426
113,-0.541365082388046
114,-0.435096016196121
115,-0.45118651958443
116,-0.465671326346068
117,-0.464618716584409
118,-0.475816073875142
119,-0.556685113520278
120,-0.522528393978292
121,-0.477979517359264
122,-0.531668093944824
123,-0.597065729669817
124,-0.530682896292531
125,-0.455652188992865
126,-0.552567603659171
127,-0.476073196051433
128,-0.542066255422261
129,-0.512804056423552
130,-0.556953497087688
131,-0.420743479434347
132,-0.478167848409349
133,-0.55765033862396
134,-0.525836632691717
135,-0.47979898636594
136,-0.345313758662855
137,-0.34970612649564
138,-0.341447394692815
139,-0.37646006354727
140,-0.405091642225348
141,-0.420817068527674
142,-0.461133460514373
143,-0.39024173690616
144,-0.42296393537921
145,-0.382812923323872
146,-0.512257754454086
147,-0.426860679482329
148,-0.463928419465582
149,-0.329718079426326
150,-0.440308537409369
151,-0.457218504558141
152,-0.468611444948664
153,-0.398954574739194
154,-0.357047516133318
155,-0.368062442286985
156,-0.380140946977236
157,-0.456734513919224
158,-0.424066291383398
159,-0.430385349586538
160,-0.290273589969129
161,-0.304045325492943
162,-0.376505163853375
163,-0.402524737463352
164,-0.424586965858251
165,-0.501022210197064
166,-0.436935902005594
167,-0.375565254762748
168,-0.46982274685042
169,-0.45879974007852
170,-0.413933711949865
171,-0.489652244027992
172,-0.435898754140068
173,-0.400521890735268
174,-0.463053596445326
175,-0.510327617168378
176,-0.47461313884595
177,-0.490933631640257
178,-0.523732650307646
179,-0.536804580482944
180,-0.523880562196922
181,-0.518026549755882
182,-0.532131084364581
183,-0.498055962996262
184,-0.476332081738801
185,-0.456089989712964
186,-0.427947288232293
187,-0.417030774886653
188,-0.414720716381106
189,-0.427247852619887
190,-0.39371693618309
191,-0.355348215824323
192,-0.445808194267169
193,-0.471546010900021
194,-0.414354518718295
195,-0.496606443097438
196,-0.365493666841747
197,-0.269261359783267
198,-0.367524720812554
199,-0.407649562381858
200,-0.48827202135073
201,-0.52278994814803
202,-0.474139602096648
203,-0.561445965854969
204,-0.463103208752105
205,-0.448594166297131
206,-0.430179361199705
207,-0.395056661373512
208,-0.401978278359437
209,-0.314440600106255
210,-0.361639686120871
211,-0.441192726114449
212,-0.391378739951059
213,-0.39459043874522
214,-0.444688111644777
215,-0.466017569654061
216,-0.412024365582091
217,-0.391170674707033
218,-0.435996834213124
219,-0.422786502269555
220,-0.440709276647888
221,-0.47954144850177
222,-0.373535287182649
223,-0.364492100729113
224,-0.327092861115103
225,-0.306271823260917
