"Year","RP1"
1,-0.557490062182291
2,-0.47067796435395
3,-0.40738562612732
4,-0.379565711936604
5,-0.30589665742833
6,-0.245918816320436
7,-0.137308857906468
8,-0.294820650920931
9,-0.388521595904992
10,-0.416635555347148
11,-0.334310522604013
12,-0.339136109668231
13,-0.214731966397455
14,-0.294049003803027
15,-0.308332741840148
16,-0.328229261710987
17,-0.280665475055619
18,-0.262901039562586
19,-0.293748986211068
20,-0.367177835489226
21,-0.391082986693348
22,-0.314162084180288
23,-0.277625434812633
24,-0.338534456730415
25,-0.254974758141566
26,-0.291675933158428
27,-0.288971301131026
28,-0.307108256171994
29,-0.470820361651008
30,-0.37922909743226
31,-0.398187140838992
32,-0.291992819294073
33,-0.302809858740811
34,-0.221049744117429
35,-0.199808367729466
36,-0.294153612679067
37,-0.256240640938879
38,-0.243681700770638
39,-0.246436395016727
40,-0.402744601942763
41,-0.29892452608227
42,-0.277775137253174
43,-0.28518793992676
44,-0.347519195545562
45,-0.358357735853089
46,-0.3710989967732
47,-0.335818198135821
48,-0.43747036677242
49,-0.455076334691013
50,-0.455120195176243
51,-0.5615134354629
52,-0.488827057908752
53,-0.448857686305302
54,-0.410660901539429
55,-0.384177784579948
56,-0.501205780173357
57,-0.593087942397989
58,-0.448320753434407
59,-0.562589229002558
60,-0.395369726441369
61,-0.285919897371176
62,-0.446021667204305
63,-0.371091098177467
64,-0.301656101480894
65,-0.442223166757955
66,-0.417724642605071
67,-0.36563484623399
68,-0.359449911822525
69,-0.392110467308415
70,-0.409088061971167
71,-0.428506198790544
72,-0.372212601338585
73,-0.416733237161625
74,-0.470175923723421
75,-0.394182855076421
76,-0.412227518118754
77,-0.441907162967739
78,-0.499934908922301
79,-0.394480986618775
80,-0.47909561456312
81,-0.496922929273191
82,-0.512298287708392
83,-0.517753034288637
84,-0.565634141168768
85,-0.542581138839932
86,-0.465127014111811
87,-0.473286998270162
88,-0.267586139244531
89,-0.318171713606053
90,-0.479176550330376
91,-0.380473290326465
92,-0.333902965353561
93,-0.406309208348559
94,-0.503106812939948
95,-0.464464896696423
96,-0.37750636682457
97,-0.500020174595948
98,-0.388661256025004
99,-0.238707501133219
100,-0.382505886757336
101,-0.402052950351703
102,-0.399371501640395
103,-0.367371697188526
104,-0.400019746075433
105,-0.36931789816037
106,-0.450862851852509
107,-0.446016768392865
108,-0.445689744556044
109,-0.630349682185099
110,-0.491016270504388
111,-0.502725221862483
112,-0.64764528117397
113,-0.61250688310917
114,-0.479750810264792
115,-0.455434834824777
116,-0.523311606601047
117,-0.523336427317565
118,-0.558370845339382
119,-0.642109073742405
120,-0.609733021033379
121,-0.508923458549648
122,-0.591710560173162
123,-0.676294777233594
124,-0.599091106762913
125,-0.467736884121706
126,-0.61201045978836
127,-0.547152741592259
128,-0.585480023586413
129,-0.545515053271284
130,-0.642132843579447
131,-0.496085580723456
132,-0.522492478168618
133,-0.635015813429196
134,-0.575115436404189
135,-0.530706887483874
136,-0.433562198637071
137,-0.454674905344329
138,-0.424063698105867
139,-0.428928992092786
140,-0.466405286194424
141,-0.514346345104833
142,-0.534826747152583
143,-0.475328931189536
144,-0.540214214118689
145,-0.480732491098223
146,-0.630002329996228
147,-0.498855367928047
148,-0.618470490992433
149,-0.482376424796104
150,-0.61588510203244
151,-0.595952873689611
152,-0.60881296309413
153,-0.512034700740089
154,-0.470524088511815
155,-0.491217630566098
156,-0.538862007827551
157,-0.515396747419391
158,-0.522656666179502
159,-0.574619165917427
160,-0.461350764918075
161,-0.442732638047644
162,-0.49495575653681
163,-0.50228988220898
164,-0.505765398751713
165,-0.628395671429878
166,-0.528226137654783
167,-0.422708479691253
168,-0.511578314649475
169,-0.526072042475724
170,-0.485478775798059
171,-0.572927755417704
172,-0.522429072817045
173,-0.511575855983567
174,-0.582192875443439
175,-0.625738539276925
176,-0.577268312965592
177,-0.603598656244814
178,-0.657659993663962
179,-0.694253244243788
180,-0.637555213137604
181,-0.6035440809142
182,-0.648481944072645
183,-0.563953781793271
184,-0.547059627787692
185,-0.507713548943052
186,-0.522165841234257
187,-0.537168197703553
188,-0.475707819337941
189,-0.520020529453821
190,-0.432744094929176
191,-0.367748842472124
192,-0.480830239370118
193,-0.53788022009013
194,-0.430014376053767
195,-0.517087537136421
196,-0.391572228632355
197,-0.300362889791889
198,-0.432855653325586
199,-0.486092588701272
200,-0.493463592893436
201,-0.540685631113843
202,-0.502572230392645
203,-0.584504489003161
204,-0.464045359656199
205,-0.46893911301787
206,-0.444647168161125
207,-0.466192001867902
208,-0.51461678557165
209,-0.3704343578114
210,-0.375936020611274
211,-0.500278726292523
212,-0.373537122925266
213,-0.387607802371709
214,-0.45661931657446
215,-0.498506544155566
216,-0.44300577839838
